,town_symbol,town_name,location_symbol,ballot_address,ballot_location,bldg_nubmer,street,geocode_address,Latitude,Longitude
394,3000,ירושלים,17,"נחשון,11 ","בי""ס הממלכתי בן יהודה",11,נחשון,"נחשון 11, ירושלים",31.7641904,35.2263411
397,3000,ירושלים,332,"בית""ר,8 ","בי""ס התיכון המסורתי אולם ספורט",8,"בית""ר","בית""ר 8, ירושלים",31.7540798,35.2243527
398,3000,ירושלים,110,"בית""ר,8 ","בי""ס התיכון המסורתי",8,"בית""ר","בית""ר 8, ירושלים",31.7540798,35.2243527
406,3000,ירושלים,368,בית צפפה,"בי""ס יסודי בית צפאפא",,בית צפפה,"בית צפפה, ירושלים",31.7460743,35.2005014
408,3000,ירושלים,63,"דרך בית לחם,117 ","בי""ס הממלכתי ע""ש זלמן ארן",117,דרך בית לחם,"דרך בית לחם 117, ירושלים",31.7483035,35.2168808
414,3000,ירושלים,173,בתי מחסה,"בי""ס ממ""ד הרובע היהודי",,בתי מחסה,"בתי מחסה, ירושלים",31.7743033,35.2331188
418,3000,ירושלים,302,"גריק פטריאכט,26 ",המרכז הפדגוגי,26,גריק פטריאכט,"גריק פטריאכט 26, ירושלים",31.768319,35.21371
422,3000,ירושלים,329,דרך בר-לב,"בי""ס תיכון עבדאללה בן-אלחוסיין",,דרך בר-לב,"דרך בר-לב, ירושלים",31.7934207,35.2263327
429,3000,ירושלים,41,"אצ""ל,20 ","בי""ס מסורתי ע""ש פרנקל",20,"אצ""ל","אצ""ל 20, ירושלים",31.8013732,35.234527
433,3000,ירושלים,325,"אלמדינה מונורה,142 ","בי""ס מקיף לבנות צור באחר",142,אלמדינה מונורה,"אלמדינה מונורה 142, ירושלים",31.768319,35.21371
436,3000,ירושלים,301,איחוד הכפר,"מתנ""ס בית צפאפא",,איחוד הכפר,"איחוד הכפר, ירושלים",31.747003,35.2032809
437,3000,ירושלים,28,"ככר ארן זלמן,11 ","בי""ס ממלכתי יד המורה המאוחד",11,ככר ארן זלמן,"ככר ארן זלמן 11, ירושלים",31.8019002,35.2275105
441,3000,ירושלים,14,"מעגלי הרי""ם לוין,27 ","ביה""ס בית יעקב הצפון (סנהדריה)",27,"מעגלי הרי""ם לוין","מעגלי הרי""ם לוין 27, ירושלים",31.8030425,35.216541
447,3000,ירושלים,39,"ככר ארן זלמן,7 ","בי""ס אלונים",7,ככר ארן זלמן,"ככר ארן זלמן 7, ירושלים",31.8017939,35.2271172
451,3000,ירושלים,388,"ההגנה,13 ",מרכז קהילתי הגבעה הצרפתית,13,ההגנה,"ההגנה 13, ירושלים",31.8045048,35.2377359
453,3000,ירושלים,38,"הגננת,29 ",ארץ הצבי בית חינוך תורני עירונ,29,הגננת,"הגננת 29, ירושלים",31.7298098,35.1910803
459,3000,ירושלים,69,"נטר,1 ","בי""ס תיכון רנה קאסן",1,נטר,"נטר 1, ירושלים",31.7991167,35.2261958
466,3000,ירושלים,47,"מעגלות הרב פרדס,39 ","בי""ס בית יעקב נוה יעקב",39,מעגלות הרב פרדס,"מעגלות הרב פרדס 39, ירושלים",31.8386661,35.2455641
471,3000,ירושלים,258,"מזל דלי,21 ","תלמוד תורה ""לקח יוסף""",21,מזל דלי,"מזל דלי 21, ירושלים",31.8334753,35.2339489
472,3000,ירושלים,105,"שד נוה יעקב,38ב",מועדון פיס לגיל הזהב (חדש),38ב,שד נוה יעקב,"שד נוה יעקב 38ב, ירושלים",31.837826,35.239951
473,3000,ירושלים,42,"בלבן מאיר,6 ","בי""ס בית יעקב - נווה בת שבע",6,בלבן מאיר,"בלבן מאיר 6, ירושלים",31.8441141,35.241984
475,3000,ירושלים,183,"קדושי בבל,1 ",הלל חמד הניסויי,1,קדושי בבל,"קדושי בבל 1, ירושלים",31.7491661,35.2379358
478,3000,ירושלים,240,"רזיאל דוד,29 ",מקיף עירוני סליסברג,29,רזיאל דוד,"רזיאל דוד 29, ירושלים",31.7501175,35.2341775
479,3000,ירושלים,381,"ורדינון,12 ",מרכז פיס קהילתי,12,ורדינון,"ורדינון 12, ירושלים",31.7360896,35.1974152
481,3000,ירושלים,178,"אדם,28 ","בי""ס ממלכתי רמת מוריה תל""י",28,אדם,"אדם 28, ירושלים",31.7501509,35.2286364
486,3000,ירושלים,324,"גיא בן הינום,8 ",מרכז המוסיקה גיא בן הינום,8,גיא בן הינום,"גיא בן הינום 8, ירושלים",31.7699676,35.2270759
493,3000,ירושלים,330,"מעגלות הרב פרדס,39 ","בי""ס בית יעקב בניין ב'",39,מעגלות הרב פרדס,"מעגלות הרב פרדס 39, ירושלים",31.8386661,35.2455641
494,3000,ירושלים,396,"אסירי ציון,2 ","בי""ס ממלכתי רמות אלון",2,אסירי ציון,"אסירי ציון 2, ירושלים",31.81585,35.1950342
499,3000,ירושלים,37,"הדולב,423 ","בי""ס ממלכתי ג - אריאל גילה",423,הדולב,"הדולב 423, ירושלים",31.7334826,35.1891889
506,3000,ירושלים,182,"שוהם,526 ",חיה מושקא,526,שוהם,"שוהם 526, ירושלים",31.731659,35.183855
508,3000,ירושלים,94,"דרך בית לחם,113 ","בי""ס אהבת ישראל (בנות)",113,דרך בית לחם,"דרך בית לחם 113, ירושלים",31.7494655,35.2175234
513,3000,ירושלים,181,"מרגלית,411 ","בי""ס ממלכתי גילה המאוחד",411,מרגלית,"מרגלית 411, ירושלים",31.8068124,35.1657455
517,3000,ירושלים,64,"שד נוה יעקב,38א","מינהל קהילתי ע""ש שיין-דוידוף",38א,שד נוה יעקב,"שד נוה יעקב 38א, ירושלים",31.837826,35.239951
